STATUS | wrapper  | 2020/11/19 12:03:58 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:04:00 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:04:01 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:04:01 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:04:01 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:04:01 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:04:01 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:04:01 | 
INFO   | jvm 1    | 2020/11/19 12:04:02 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 12:09:27 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 12:09:28 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 12:09:29 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 12:09:29 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 12:09:30 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 12:09:30 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 12:09:30 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 12:09:30 | 
INFO   | jvm 1    | 2020/11/19 12:09:30 | 
INFO   | jvm 1    | 2020/11/19 12:09:30 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:09:30 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2020/11/19 12:09:30 | 	at java.lang.Thread.run(Thread.java:748)
